#  E (eV)   dos(E)     Int dos(E)
-20.084  0.1130E+00  0.7988E+00
-20.074  0.6854E-01  0.7995E+00
-20.064  0.4420E-01  0.7999E+00
-20.054  0.4114E-01  0.8004E+00
-20.044  0.5943E-01  0.8009E+00
-20.034  0.9841E-01  0.8019E+00
-20.024  0.1544E+00  0.8035E+00
-20.014  0.2178E+00  0.8057E+00
-20.004  0.2733E+00  0.8084E+00
-19.994  0.3043E+00  0.8114E+00
-19.984  0.3005E+00  0.8144E+00
-19.974  0.2632E+00  0.8171E+00
-19.964  0.2045E+00  0.8191E+00
-19.954  0.1409E+00  0.8205E+00
-19.944  0.8613E-01  0.8214E+00
-19.934  0.4693E-01  0.8219E+00
-19.924  0.2343E-01  0.8221E+00
-19.914  0.1264E-01  0.8222E+00
-19.904  0.1193E-01  0.8223E+00
-19.894  0.2108E-01  0.8225E+00
-19.884  0.4247E-01  0.8230E+00
-19.874  0.7921E-01  0.8238E+00
-19.864  0.1319E+00  0.8251E+00
-19.854  0.1949E+00  0.8270E+00
-19.844  0.2554E+00  0.8296E+00
-19.834  0.2971E+00  0.8326E+00
-19.824  0.3070E+00  0.8356E+00
-19.814  0.2827E+00  0.8384E+00
-19.804  0.2346E+00  0.8408E+00
-19.794  0.1817E+00  0.8426E+00
-19.784  0.1437E+00  0.8441E+00
-19.774  0.1342E+00  0.8454E+00
-19.764  0.1563E+00  0.8470E+00
-19.754  0.2024E+00  0.8490E+00
-19.744  0.2559E+00  0.8515E+00
-19.734  0.2962E+00  0.8545E+00
-19.724  0.3073E+00  0.8576E+00
-19.714  0.2835E+00  0.8604E+00
-19.704  0.2322E+00  0.8627E+00
-19.694  0.1687E+00  0.8644E+00
-19.684  0.1087E+00  0.8655E+00
-19.674  0.6214E-01  0.8661E+00
-19.664  0.3150E-01  0.8664E+00
-19.654  0.1416E-01  0.8666E+00
-19.644  0.5654E-02  0.8666E+00
-19.634  0.2036E-02  0.8667E+00
-19.624  0.7861E-03  0.8667E+00
-19.614  0.7538E-03  0.8667E+00
-19.604  0.1906E-02  0.8667E+00
-19.594  0.5317E-02  0.8667E+00
-19.584  0.1342E-01  0.8669E+00
-19.574  0.3009E-01  0.8672E+00
-19.564  0.5986E-01  0.8678E+00
-19.554  0.1058E+00  0.8688E+00
-19.544  0.1661E+00  0.8705E+00
-19.534  0.2325E+00  0.8728E+00
-19.524  0.2916E+00  0.8757E+00
-19.514  0.3311E+00  0.8790E+00
-19.504  0.3471E+00  0.8825E+00
-19.494  0.3466E+00  0.8860E+00
-19.484  0.3423E+00  0.8894E+00
-19.474  0.3432E+00  0.8928E+00
-19.464  0.3477E+00  0.8963E+00
-19.454  0.3445E+00  0.8998E+00
-19.444  0.3216E+00  0.9030E+00
-19.434  0.2752E+00  0.9057E+00
-19.424  0.2124E+00  0.9079E+00
-19.414  0.1466E+00  0.9093E+00
-19.404  0.9006E-01  0.9102E+00
-19.394  0.4917E-01  0.9107E+00
-19.384  0.2383E-01  0.9110E+00
-19.374  0.1025E-01  0.9111E+00
-19.364  0.3909E-02  0.9111E+00
-19.354  0.1322E-02  0.9111E+00
-19.344  0.3968E-03  0.9111E+00
-19.334  0.1059E-03  0.9111E+00
-19.324  0.2656E-04  0.9111E+00
-19.314  0.1380E-04  0.9111E+00
-19.304  0.4093E-04  0.9111E+00
-19.294  0.1654E-03  0.9111E+00
-19.284  0.6079E-03  0.9111E+00
-19.274  0.1990E-02  0.9111E+00
-19.264  0.5801E-02  0.9112E+00
-19.254  0.1508E-01  0.9113E+00
-19.244  0.3496E-01  0.9117E+00
-19.234  0.7244E-01  0.9124E+00
-19.224  0.1343E+00  0.9138E+00
-19.214  0.2229E+00  0.9160E+00
-19.204  0.3319E+00  0.9193E+00
-19.194  0.4438E+00  0.9238E+00
-19.184  0.5335E+00  0.9291E+00
-19.174  0.5767E+00  0.9349E+00
-19.164  0.5610E+00  0.9405E+00
-19.154  0.4909E+00  0.9454E+00
-19.144  0.3863E+00  0.9492E+00
-19.134  0.2731E+00  0.9520E+00
-19.124  0.1733E+00  0.9537E+00
-19.114  0.9853E-01  0.9547E+00
-19.104  0.5015E-01  0.9552E+00
-19.094  0.2282E-01  0.9554E+00
-19.084  0.9273E-02  0.9555E+00
-19.074  0.3360E-02  0.9555E+00
-19.064  0.1085E-02  0.9556E+00
-19.054  0.3118E-03  0.9556E+00
-19.044  0.7972E-04  0.9556E+00
-19.034  0.1813E-04  0.9556E+00
-19.024  0.3719E-05  0.9556E+00
-19.014  0.1035E-05  0.9556E+00
-19.004  0.2282E-05  0.9556E+00
-18.994  0.1113E-04  0.9556E+00
-18.984  0.5040E-04  0.9556E+00
-18.974  0.2029E-03  0.9556E+00
-18.964  0.7258E-03  0.9556E+00
-18.954  0.2309E-02  0.9556E+00
-18.944  0.6536E-02  0.9557E+00
-18.934  0.1649E-01  0.9558E+00
-18.924  0.3710E-01  0.9562E+00
-18.914  0.7467E-01  0.9569E+00
-18.904  0.1347E+00  0.9583E+00
-18.894  0.2182E+00  0.9605E+00
-18.884  0.3188E+00  0.9637E+00
-18.874  0.4210E+00  0.9679E+00
-18.864  0.5041E+00  0.9729E+00
-18.854  0.5484E+00  0.9784E+00
-18.844  0.5428E+00  0.9838E+00
-18.834  0.4885E+00  0.9887E+00
-18.824  0.3994E+00  0.9927E+00
-18.814  0.2958E+00  0.9957E+00
-18.804  0.1980E+00  0.9976E+00
-18.794  0.1194E+00  0.9988E+00
-18.784  0.6463E-01  0.9995E+00
-18.774  0.3134E-01  0.9998E+00
-18.764  0.1358E-01  0.9999E+00
-18.754  0.5250E-02  0.1000E+01
-18.744  0.1808E-02  0.1000E+01
-18.734  0.5538E-03  0.1000E+01
-18.724  0.1509E-03  0.1000E+01
-18.714  0.3660E-04  0.1000E+01
-18.704  0.8437E-05  0.1000E+01
-18.694  0.4801E-05  0.1000E+01
-18.684  0.1658E-04  0.1000E+01
-18.674  0.7155E-04  0.1000E+01
-18.664  0.2778E-03  0.1000E+01
-18.654  0.9573E-03  0.1000E+01
-18.644  0.2925E-02  0.1000E+01
-18.634  0.7929E-02  0.1000E+01
-18.624  0.1906E-01  0.1000E+01
-18.614  0.4063E-01  0.1001E+01
-18.604  0.7683E-01  0.1001E+01
-18.594  0.1289E+00  0.1003E+01
-18.584  0.1919E+00  0.1005E+01
-18.574  0.2538E+00  0.1007E+01
-18.564  0.2991E+00  0.1010E+01
-18.554  0.3163E+00  0.1013E+01
-18.544  0.3049E+00  0.1016E+01
-18.534  0.2776E+00  0.1019E+01
-18.524  0.2539E+00  0.1022E+01
-18.514  0.2494E+00  0.1024E+01
-18.504  0.2671E+00  0.1027E+01
-18.494  0.2953E+00  0.1030E+01
-18.484  0.3148E+00  0.1033E+01
-18.474  0.3093E+00  0.1036E+01
-18.464  0.2739E+00  0.1039E+01
-18.454  0.2165E+00  0.1041E+01
-18.444  0.1521E+00  0.1043E+01
-18.434  0.9493E-01  0.1043E+01
-18.424  0.5255E-01  0.1044E+01
-18.414  0.2580E-01  0.1044E+01
-18.404  0.1124E-01  0.1044E+01
-18.394  0.4341E-02  0.1044E+01
-18.384  0.1489E-02  0.1044E+01
-18.374  0.4599E-03  0.1044E+01
-18.364  0.1594E-03  0.1044E+01
-18.354  0.1833E-03  0.1044E+01
-18.344  0.5666E-03  0.1044E+01
-18.334  0.1808E-02  0.1044E+01
-18.324  0.5165E-02  0.1045E+01
-18.314  0.1309E-01  0.1045E+01
-18.304  0.2945E-01  0.1045E+01
-18.294  0.5872E-01  0.1046E+01
-18.284  0.1039E+00  0.1047E+01
-18.274  0.1629E+00  0.1048E+01
-18.264  0.2267E+00  0.1050E+01
-18.254  0.2797E+00  0.1053E+01
-18.244  0.3060E+00  0.1056E+01
-18.234  0.2970E+00  0.1059E+01
-18.224  0.2557E+00  0.1062E+01
-18.214  0.1954E+00  0.1064E+01
-18.204  0.1332E+00  0.1065E+01
-18.194  0.8267E-01  0.1066E+01
-18.184  0.5120E-01  0.1066E+01
-18.174  0.4116E-01  0.1067E+01
-18.164  0.5287E-01  0.1067E+01
-18.154  0.8593E-01  0.1068E+01
-18.144  0.1377E+00  0.1070E+01
-18.134  0.2004E+00  0.1072E+01
-18.124  0.2598E+00  0.1074E+01
-18.114  0.2989E+00  0.1077E+01
-18.104  0.3052E+00  0.1080E+01
-18.094  0.2763E+00  0.1083E+01
-18.084  0.2219E+00  0.1085E+01
-18.074  0.1581E+00  0.1087E+01
-18.064  0.9983E-01  0.1088E+01
-18.054  0.5594E-01  0.1088E+01
-18.044  0.2784E-01  0.1089E+01
-18.034  0.1248E-01  0.1089E+01
-18.024  0.5611E-02  0.1089E+01
-18.014  0.4222E-02  0.1089E+01
-18.004  0.7564E-02  0.1089E+01
-17.994  0.1735E-01  0.1089E+01
-17.984  0.3727E-01  0.1090E+01
-17.974  0.7146E-01  0.1090E+01
-17.964  0.1216E+00  0.1091E+01
-17.954  0.1835E+00  0.1093E+01
-17.944  0.2457E+00  0.1096E+01
-17.934  0.2917E+00  0.1099E+01
-17.924  0.3071E+00  0.1102E+01
-17.914  0.2867E+00  0.1105E+01
-17.904  0.2375E+00  0.1107E+01
-17.894  0.1744E+00  0.1109E+01
-17.884  0.1136E+00  0.1110E+01
-17.874  0.6563E-01  0.1111E+01
-17.864  0.3363E-01  0.1111E+01
-17.854  0.1529E-01  0.1111E+01
-17.844  0.6226E-02  0.1111E+01
-17.834  0.2470E-02  0.1111E+01
-17.824  0.1627E-02  0.1111E+01
-17.814  0.3045E-02  0.1111E+01
-17.804  0.7794E-02  0.1111E+01
-17.794  0.1868E-01  0.1111E+01
-17.784  0.3993E-01  0.1112E+01
-17.774  0.7571E-01  0.1113E+01
-17.764  0.1273E+00  0.1114E+01
-17.754  0.1899E+00  0.1116E+01
-17.744  0.2512E+00  0.1118E+01
-17.734  0.2948E+00  0.1121E+01
-17.724  0.3069E+00  0.1124E+01
-17.714  0.2840E+00  0.1127E+01
-17.704  0.2348E+00  0.1129E+01
-17.694  0.1767E+00  0.1131E+01
-17.684  0.1288E+00  0.1133E+01
-17.674  0.1051E+00  0.1134E+01
-17.664  0.1124E+00  0.1135E+01
-17.654  0.1485E+00  0.1136E+01
-17.644  0.2032E+00  0.1138E+01
-17.634  0.2597E+00  0.1141E+01
-17.624  0.2986E+00  0.1144E+01
-17.614  0.3058E+00  0.1147E+01
-17.604  0.2780E+00  0.1150E+01
-17.594  0.2243E+00  0.1152E+01
-17.584  0.1604E+00  0.1153E+01
-17.574  0.1018E+00  0.1154E+01
-17.564  0.5728E-01  0.1155E+01
-17.554  0.2859E-01  0.1155E+01
-17.544  0.1265E-01  0.1155E+01
-17.534  0.4967E-02  0.1156E+01
-17.524  0.1729E-02  0.1156E+01
-17.514  0.5339E-03  0.1156E+01
-17.504  0.1465E-03  0.1156E+01
-17.494  0.3724E-04  0.1156E+01
-17.484  0.1675E-04  0.1156E+01
-17.474  0.4395E-04  0.1156E+01
-17.464  0.1767E-03  0.1156E+01
-17.454  0.6520E-03  0.1156E+01
-17.444  0.2144E-02  0.1156E+01
-17.434  0.6277E-02  0.1156E+01
-17.424  0.1637E-01  0.1156E+01
-17.414  0.3809E-01  0.1156E+01
-17.404  0.7903E-01  0.1157E+01
-17.394  0.1464E+00  0.1158E+01
-17.384  0.2422E+00  0.1161E+01
-17.374  0.3581E+00  0.1164E+01
-17.364  0.4734E+00  0.1169E+01
-17.354  0.5599E+00  0.1175E+01
-17.344  0.5926E+00  0.1181E+01
-17.334  0.5620E+00  0.1186E+01
-17.324  0.4795E+00  0.1191E+01
-17.314  0.3740E+00  0.1195E+01
-17.304  0.2823E+00  0.1198E+01
-17.294  0.2397E+00  0.1200E+01
-17.284  0.2758E+00  0.1203E+01
-17.274  0.4102E+00  0.1207E+01
-17.264  0.6465E+00  0.1213E+01
-17.254  0.9632E+00  0.1223E+01
-17.244  0.1309E+01  0.1236E+01
-17.234  0.1614E+01  0.1252E+01
-17.224  0.1813E+01  0.1270E+01
-17.214  0.1871E+01  0.1289E+01
-17.204  0.1798E+01  0.1307E+01
-17.194  0.1638E+01  0.1323E+01
-17.184  0.1445E+01  0.1338E+01
-17.174  0.1261E+01  0.1351E+01
-17.164  0.1109E+01  0.1362E+01
-17.154  0.9930E+00  0.1372E+01
-17.144  0.9068E+00  0.1381E+01
-17.134  0.8421E+00  0.1389E+01
-17.124  0.7918E+00  0.1397E+01
-17.114  0.7510E+00  0.1404E+01
-17.104  0.7168E+00  0.1412E+01
-17.094  0.6873E+00  0.1418E+01
-17.084  0.6615E+00  0.1425E+01
-17.074  0.6385E+00  0.1431E+01
-17.064  0.6178E+00  0.1438E+01
-17.054  0.5993E+00  0.1444E+01
-17.044  0.5828E+00  0.1449E+01
-17.034  0.5685E+00  0.1455E+01
-17.024  0.5577E+00  0.1461E+01
-17.014  0.5530E+00  0.1466E+01
-17.004  0.5583E+00  0.1472E+01
-16.994  0.5777E+00  0.1478E+01
