#  E (eV)   dos(E)     Int dos(E)
  0.814  0.1062E+01  0.2504E+00
  0.815  0.1058E+01  0.2514E+00
  0.816  0.1053E+01  0.2525E+00
  0.817  0.1049E+01  0.2535E+00
  0.818  0.1044E+01  0.2546E+00
  0.819  0.1039E+01  0.2556E+00
  0.820  0.1033E+01  0.2567E+00
  0.821  0.1027E+01  0.2577E+00
  0.822  0.1021E+01  0.2587E+00
  0.823  0.1014E+01  0.2597E+00
  0.824  0.1008E+01  0.2607E+00
  0.825  0.1000E+01  0.2617E+00
  0.826  0.9929E+00  0.2627E+00
  0.827  0.9851E+00  0.2637E+00
  0.828  0.9771E+00  0.2647E+00
  0.829  0.9687E+00  0.2656E+00
  0.830  0.9602E+00  0.2666E+00
  0.831  0.9513E+00  0.2676E+00
  0.832  0.9423E+00  0.2685E+00
  0.833  0.9330E+00  0.2694E+00
  0.834  0.9236E+00  0.2704E+00
  0.835  0.9140E+00  0.2713E+00
  0.836  0.9043E+00  0.2722E+00
  0.837  0.8945E+00  0.2731E+00
  0.838  0.8846E+00  0.2740E+00
  0.839  0.8746E+00  0.2748E+00
  0.840  0.8646E+00  0.2757E+00
  0.841  0.8546E+00  0.2765E+00
  0.842  0.8446E+00  0.2774E+00
  0.843  0.8347E+00  0.2782E+00
  0.844  0.8249E+00  0.2791E+00
  0.845  0.8152E+00  0.2799E+00
  0.846  0.8056E+00  0.2807E+00
  0.847  0.7962E+00  0.2815E+00
  0.848  0.7870E+00  0.2823E+00
  0.849  0.7781E+00  0.2830E+00
  0.850  0.7694E+00  0.2838E+00
  0.851  0.7611E+00  0.2846E+00
  0.852  0.7530E+00  0.2853E+00
  0.853  0.7453E+00  0.2861E+00
  0.854  0.7380E+00  0.2868E+00
  0.855  0.7311E+00  0.2875E+00
  0.856  0.7246E+00  0.2883E+00
  0.857  0.7185E+00  0.2890E+00
  0.858  0.7129E+00  0.2897E+00
  0.859  0.7078E+00  0.2904E+00
  0.860  0.7032E+00  0.2911E+00
  0.861  0.6991E+00  0.2918E+00
  0.862  0.6956E+00  0.2925E+00
  0.863  0.6926E+00  0.2932E+00
  0.864  0.6902E+00  0.2939E+00
  0.865  0.6883E+00  0.2946E+00
  0.866  0.6870E+00  0.2953E+00
  0.867  0.6862E+00  0.2959E+00
  0.868  0.6861E+00  0.2966E+00
  0.869  0.6865E+00  0.2973E+00
  0.870  0.6875E+00  0.2980E+00
  0.871  0.6890E+00  0.2987E+00
  0.872  0.6911E+00  0.2994E+00
  0.873  0.6938E+00  0.3001E+00
  0.874  0.6970E+00  0.3008E+00
  0.875  0.7007E+00  0.3015E+00
  0.876  0.7049E+00  0.3022E+00
  0.877  0.7096E+00  0.3029E+00
  0.878  0.7147E+00  0.3036E+00
  0.879  0.7203E+00  0.3043E+00
  0.880  0.7263E+00  0.3050E+00
  0.881  0.7327E+00  0.3058E+00
  0.882  0.7395E+00  0.3065E+00
  0.883  0.7466E+00  0.3073E+00
  0.884  0.7540E+00  0.3080E+00
  0.885  0.7616E+00  0.3088E+00
  0.886  0.7695E+00  0.3095E+00
  0.887  0.7776E+00  0.3103E+00
  0.888  0.7858E+00  0.3111E+00
  0.889  0.7942E+00  0.3119E+00
  0.890  0.8026E+00  0.3127E+00
  0.891  0.8111E+00  0.3135E+00
  0.892  0.8195E+00  0.3143E+00
  0.893  0.8280E+00  0.3152E+00
  0.894  0.8363E+00  0.3160E+00
  0.895  0.8445E+00  0.3168E+00
  0.896  0.8526E+00  0.3177E+00
  0.897  0.8605E+00  0.3186E+00
  0.898  0.8681E+00  0.3194E+00
  0.899  0.8754E+00  0.3203E+00
  0.900  0.8824E+00  0.3212E+00
  0.901  0.8891E+00  0.3221E+00
  0.902  0.8954E+00  0.3230E+00
  0.903  0.9012E+00  0.3239E+00
  0.904  0.9066E+00  0.3248E+00
  0.905  0.9115E+00  0.3257E+00
  0.906  0.9158E+00  0.3266E+00
  0.907  0.9196E+00  0.3275E+00
  0.908  0.9229E+00  0.3284E+00
  0.909  0.9255E+00  0.3294E+00
  0.910  0.9275E+00  0.3303E+00
  0.911  0.9288E+00  0.3312E+00
  0.912  0.9295E+00  0.3322E+00
  0.913  0.9295E+00  0.3331E+00
  0.914  0.9288E+00  0.3340E+00
  0.915  0.9274E+00  0.3349E+00
  0.916  0.9253E+00  0.3359E+00
  0.917  0.9225E+00  0.3368E+00
  0.918  0.9190E+00  0.3377E+00
  0.919  0.9148E+00  0.3386E+00
  0.920  0.9098E+00  0.3395E+00
  0.921  0.9041E+00  0.3404E+00
  0.922  0.8978E+00  0.3413E+00
  0.923  0.8907E+00  0.3422E+00
  0.924  0.8830E+00  0.3431E+00
  0.925  0.8747E+00  0.3440E+00
  0.926  0.8657E+00  0.3449E+00
  0.927  0.8561E+00  0.3457E+00
  0.928  0.8459E+00  0.3466E+00
  0.929  0.8351E+00  0.3474E+00
  0.930  0.8238E+00  0.3482E+00
  0.931  0.8120E+00  0.3490E+00
  0.932  0.7998E+00  0.3498E+00
  0.933  0.7871E+00  0.3506E+00
  0.934  0.7740E+00  0.3514E+00
  0.935  0.7606E+00  0.3521E+00
  0.936  0.7469E+00  0.3529E+00
  0.937  0.7329E+00  0.3536E+00
  0.938  0.7186E+00  0.3543E+00
  0.939  0.7042E+00  0.3551E+00
  0.940  0.6896E+00  0.3557E+00
  0.941  0.6749E+00  0.3564E+00
  0.942  0.6602E+00  0.3571E+00
  0.943  0.6454E+00  0.3577E+00
  0.944  0.6307E+00  0.3584E+00
  0.945  0.6161E+00  0.3590E+00
  0.946  0.6016E+00  0.3596E+00
