#  E (eV)   dos(E)     Int dos(E)
 -1.346  0.7552E-01  0.7154E+00
 -1.336  0.3896E-01  0.7158E+00
 -1.326  0.1783E-01  0.7159E+00
 -1.316  0.7238E-02  0.7160E+00
 -1.306  0.2625E-02  0.7160E+00
 -1.296  0.9295E-03  0.7160E+00
 -1.286  0.6286E-03  0.7161E+00
 -1.276  0.1454E-02  0.7161E+00
 -1.266  0.4410E-02  0.7161E+00
 -1.256  0.1232E-01  0.7162E+00
 -1.246  0.3066E-01  0.7165E+00
 -1.236  0.6784E-01  0.7172E+00
 -1.226  0.1334E+00  0.7186E+00
 -1.216  0.2333E+00  0.7209E+00
 -1.206  0.3627E+00  0.7245E+00
 -1.196  0.5012E+00  0.7295E+00
 -1.186  0.6159E+00  0.7357E+00
 -1.176  0.6729E+00  0.7424E+00
 -1.166  0.6536E+00  0.7490E+00
 -1.156  0.5646E+00  0.7546E+00
 -1.146  0.4335E+00  0.7589E+00
 -1.136  0.2960E+00  0.7619E+00
 -1.126  0.1797E+00  0.7637E+00
 -1.116  0.9696E-01  0.7647E+00
 -1.106  0.4652E-01  0.7651E+00
 -1.096  0.1986E-01  0.7653E+00
 -1.086  0.7637E-02  0.7654E+00
 -1.076  0.2984E-02  0.7654E+00
 -1.066  0.2261E-02  0.7655E+00
 -1.056  0.4634E-02  0.7655E+00
 -1.046  0.1164E-01  0.7656E+00
 -1.036  0.2689E-01  0.7659E+00
 -1.026  0.5529E-01  0.7664E+00
 -1.016  0.1008E+00  0.7674E+00
 -1.006  0.1631E+00  0.7691E+00
 -0.996  0.2340E+00  0.7714E+00
 -0.986  0.2978E+00  0.7744E+00
 -0.976  0.3361E+00  0.7778E+00
 -0.966  0.3363E+00  0.7811E+00
 -0.956  0.2985E+00  0.7841E+00
 -0.946  0.2350E+00  0.7865E+00
 -0.936  0.1641E+00  0.7881E+00
 -0.926  0.1016E+00  0.7891E+00
 -0.916  0.5582E-01  0.7897E+00
 -0.906  0.2731E-01  0.7899E+00
 -0.896  0.1225E-01  0.7901E+00
 -0.886  0.6197E-02  0.7901E+00
 -0.876  0.6478E-02  0.7902E+00
 -0.866  0.1324E-01  0.7903E+00
 -0.856  0.2937E-01  0.7906E+00
 -0.846  0.5940E-01  0.7912E+00
 -0.836  0.1069E+00  0.7923E+00
 -0.826  0.1707E+00  0.7940E+00
